open,high,low,close,tick_volume,atr14,rsi14,ma50,ma200,signal,position,net_pnl,cum_pnl
4609.09,4616.13,4602.82,4615.23,11639,13.162857142856994,48.48172337941134,4623.6288,4565.0634,-1,0,0.0,0.0
4615.23,4618.13,4611.59,4616.69,8959,12.924999999999857,47.037342435403964,4624.205,4565.908600000001,-1,0,0.0,0.0
4616.69,4618.01,4610.13,4615.26,10988,12.442142857142699,48.939821048104704,4624.7882,4566.71435,-1,0,-0.0,0.0
4615.26,4617.58,4596.96,4600.46,21540,12.949999999999818,44.00969910045036,4624.853,4567.44865,-1,0,-0.0,0.0
4600.47,4606.98,4583.6,4599.99,21471,13.517142857142646,41.90368271289908,4624.9108,4568.1323,-1,0,-0.0,0.0
4599.99,4614.64,4597.49,4611.14,15808,13.506428571428453,39.97190023932066,4624.9404,4568.8797,-1,0,0.0,0.0
4611.15,4614.69,4595.59,4602.98,17626,14.219999999999866,31.53225805943009,4624.8176,4569.57775,-1,0,-0.0,0.0
4602.98,4604.32,4581.29,4585.27,19576,15.18499999999988,26.193894149040872,4624.2308,4570.2434,-1,0,-0.0,0.0
4585.21,4597.46,4581.14,4592.27,15812,15.858571428571329,28.093240089573015,4623.693,4570.9566,-1,0,0.0,0.0
4592.26,4597.45,4586.98,4593.9,12204,15.492857142857051,30.60319907083756,4623.1716,4571.68725,-1,0,0.0,0.0
4593.9,4595.77,4589.21,4592.2,10326,15.264999999999938,30.573738925413195,4622.6044,4572.387650000001,-1,0,-0.0,0.0
4592.2,4593.09,4581.21,4593.09,9209,15.259285714285657,34.51739083958924,4622.1638,4573.00325,-1,0,0.0,0.0
4593.09,4598.89,4581.53,4595.32,15434,15.75785714285712,32.994374724556806,4621.5058,4573.59965,-1,0,0.0,0.0
4595.32,4609.97,4593.68,4604.16,13640,14.99214285714288,47.05178805574999,4621.0586,4574.24465,-1,0,0.0,0.0
4604.16,4611.95,4600.48,4610.21,14290,14.860714285714298,46.99473179288908,4620.6759999999995,4574.9067000000005,-1,0,0.0,0.0
4610.21,4613.52,4605.91,4610.24,9735,14.937142857142915,46.071385057315226,4620.196999999999,4575.572,-1,0,0.0,0.0
4610.24,4611.19,4599.26,4601.8,10209,15.226428571428576,42.4466891066862,4619.837,4576.2032,-1,0,-0.0,0.0
4601.8,4606.29,4597.81,4602.2,11408,14.359285714285695,51.16465862494893,4619.2206,4576.885200000001,-1,0,0.0,0.0
4602.2,4607.18,4599.25,4604.25,8462,13.255714285714346,52.79234398611591,4618.5602,4577.5923,-1,0,0.0,0.0
4604.25,4605.39,4600.64,4604.63,8406,12.37000000000002,45.03129292275291,4617.909799999999,4578.32885,-1,0,0.0,0.0
4604.63,4613.11,4602.81,4612.65,10200,11.74142857142858,57.39635917387908,4617.5124,4579.04755,-1,0,0.0,0.0
4612.65,4615.66,4609.39,4612.17,9200,10.544285714285706,77.93934355855625,4617.2546,4579.747,-1,0,-0.0,0.0
4612.2,4620.37,4610.6,4619.87,8668,10.07642857142855,78.25552823309722,4616.9538,4580.499,-1,0,0.0,0.0
4619.88,4621.51,4617.29,4619.14,6382,9.62999999999998,76.32457235985709,4616.5866000000005,4581.27745,-1,0,-0.0,0.0
4619.14,4622.94,4615.53,4619.23,7033,9.690714285714225,79.1711633691274,4616.3628,4582.0529,-1,0,0.0,0.0
4619.23,4620.78,4614.0,4616.52,8904,9.326428571428485,74.33021804692603,4615.9942,4582.821550000001,-1,0,-0.0,0.0
4616.52,4618.61,4611.64,4613.03,8956,8.58428571428554,67.92147336671023,4615.594,4583.56315,-1,0,-0.0,0.0
4611.21,4614.01,4602.62,4604.94,9786,8.234285714285566,50.801479640130886,4615.088400000001,4584.2647,-1,0,-0.0,0.0
4604.94,4604.94,4582.19,4588.3,21038,9.039999999999834,31.510548515760206,4614.247,4584.866,-1,0,-0.0,0.0
4588.3,4606.72,4583.51,4602.7,18793,10.154285714285509,44.87910892925394,4613.5796,4585.5116,-1,0,0.0,0.0
4602.74,4614.58,4600.28,4611.11,24897,10.323571428571281,56.32558770500663,4613.0276,4586.19615,-1,0,0.0,0.0
4611.12,4618.08,4603.78,4616.54,19299,10.73928571428561,59.11981682997145,4612.7306,4586.9274,-1,0,0.0,0.0
4616.53,4617.56,4609.39,4615.37,16696,10.756428571428453,57.152045268843416,4612.3234,4587.65235,-1,0,-0.0,0.0
4615.37,4624.82,4608.69,4611.62,17998,11.569285714285602,54.30896312710735,4611.8482,4588.344099999999,-1,0,-0.0,0.0
4611.64,4613.35,4601.3,4605.61,16123,11.694285714285668,45.54993678081279,4611.607400000001,4589.0293,-1,0,-0.0,0.0
4605.61,4613.74,4605.56,4610.81,11299,11.830714285714228,49.18873776319939,4611.5128,4589.7139,-1,0,0.0,0.0
4610.81,4616.93,4610.21,4616.52,14117,11.612857142857138,47.95307343674303,4611.4856,4590.440600000001,-1,0,0.0,0.0
4616.52,4621.17,4616.36,4619.41,13688,11.655000000000005,50.16073341228391,4611.4394,4591.1923,-1,0,0.0,0.0
4619.41,4619.75,4613.52,4617.59,9957,11.57071428571427,49.043397098849994,4611.4514,4591.91715,-1,0,-0.0,0.0
4617.59,4621.59,4617.5,4618.36,9474,11.378571428571442,51.09811409983992,4611.592000000001,4592.65565,-1,0,0.0,0.0
4618.36,4619.2,4612.65,4615.83,9103,11.348571428571502,51.69041293499571,4611.623,4593.3579,-1,0,-0.0,0.0
4615.82,4616.32,4600.69,4604.96,14629,11.651428571428628,50.011682234811424,4611.1568,4594.0441,-1,0,-0.0,0.0
4604.98,4609.33,4603.43,4605.81,13629,10.447857142857174,62.54118319903224,4610.5722,4594.74305,-1,0,0.0,0.0
4605.82,4615.52,4604.43,4614.14,6358,9.582142857142896,58.973956686137306,4610.1546,4595.4509,-1,0,0.0,0.0
4614.05,4616.27,4613.45,4615.95,3716,8.762142857142928,54.23521174729991,4609.6884,4596.1167,-1,0,0.0,0.0
4615.95,4621.04,4608.77,4608.91,6755,8.61714285714288,43.50638296835573,4609.1834,4596.689249999999,-1,0,-0.0,0.0
